2025-11-04 08:46:00 status installed xauth:amd64 1:1.1-1build2
2025-11-04 08:46:00 configure cmake:amd64 3.22.1-1ubuntu1.22.04.2 <none>
2025-11-04 08:46:00 status unpacked cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:46:00 status half-configured cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:46:00 status installed cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:46:00 configure automake:all 1:1.16.5-1.3 <none>
2025-11-04 08:46:00 status unpacked automake:all 1:1.16.5-1.3
2025-11-04 08:46:00 status half-configured automake:all 1:1.16.5-1.3
2025-11-04 08:46:00 status installed automake:all 1:1.16.5-1.3
2025-11-04 08:46:00 configure libltdl-dev:amd64 2.4.6-15build2 <none>
2025-11-04 08:46:00 status unpacked libltdl-dev:amd64 2.4.6-15build2
2025-11-04 08:46:00 status half-configured libltdl-dev:amd64 2.4.6-15build2
2025-11-04 08:46:00 status installed libltdl-dev:amd64 2.4.6-15build2
2025-11-04 08:46:00 trigproc libc-bin:amd64 2.35-0ubuntu3.11 <none>
2025-11-04 08:46:00 status half-configured libc-bin:amd64 2.35-0ubuntu3.11
2025-11-04 08:46:00 status installed libc-bin:amd64 2.35-0ubuntu3.11
